"_id","created_on","date_time","node_id","ppl_in","ppl_out"
"ObjectId(""596f6a90901f02480e000aa1"")","ISODate(""2017-07-19T22:20:00.000+08:00"")","946685583313","109","0","2"
"ObjectId(""5974c0ad901f02000e004d15"")","ISODate(""2017-07-23T23:28:00.000+08:00"")","1500825665941","114","0","0"
"ObjectId(""5974c0b3901f02040e004fb4"")","ISODate(""2017-07-23T23:28:00.000+08:00"")","1500825672635","109","0","0"
"ObjectId(""5974c0da901f02040e004fb5"")","ISODate(""2017-07-23T23:29:00.000+08:00"")","1500825711400","112","0","0"
"ObjectId(""5974c0f2901f02040e004fba"")","ISODate(""2017-07-23T23:29:00.000+08:00"")","1500825734822","111","0","0"
"ObjectId(""5974c146901f02040e004fbe"")","ISODate(""2017-07-23T23:31:00.000+08:00"")","1500825817587","110","0","0"
"ObjectId(""5974c1d9901f022c0e008331"")","ISODate(""2017-07-23T23:33:00.000+08:00"")","1500825966042","114","0","0"
"ObjectId(""5974c1df901f02e00d004c3e"")","ISODate(""2017-07-23T23:33:00.000+08:00"")","1500825972758","109","0","0"
"ObjectId(""5974c206901f022c0e008333"")","ISODate(""2017-07-23T23:34:00.000+08:00"")","1500826011490","112","0","0"
"ObjectId(""5974c21e901f02000e004d1c"")","ISODate(""2017-07-23T23:34:00.000+08:00"")","1500826034879","111","0","0"
"ObjectId(""5974c271901f02e00d004c43"")","ISODate(""2017-07-23T23:36:00.000+08:00"")","1500826117707","110","0","0"
"ObjectId(""5974c305901f02e00d004c49"")","ISODate(""2017-07-23T23:38:00.000+08:00"")","1500826266145","114","0","0"
"ObjectId(""5974c30c901f022c0e00833f"")","ISODate(""2017-07-23T23:38:00.000+08:00"")","1500826272896","109","0","0"
"ObjectId(""5974c333901f022c0e008342"")","ISODate(""2017-07-23T23:39:00.000+08:00"")","1500826311514","112","0","0"
"ObjectId(""5974c34a901f02e00d004c4c"")","ISODate(""2017-07-23T23:39:00.000+08:00"")","1500826334935","111","0","0"
"ObjectId(""5974c39d901f02e00d004c50"")","ISODate(""2017-07-23T23:41:00.000+08:00"")","1500826417835","110","0","0"
"ObjectId(""5974c431901f02e00d004c5d"")","ISODate(""2017-07-23T23:43:00.000+08:00"")","1500826566257","114","0","0"
"ObjectId(""5974c439901f02040e004fd6"")","ISODate(""2017-07-23T23:43:00.000+08:00"")","1500826572939","109","0","0"
"ObjectId(""5974c45e901f023c0e0038ef"")","ISODate(""2017-07-23T23:44:00.000+08:00"")","1500826611545","112","0","0"
"ObjectId(""5974c476901f02000e004d28"")","ISODate(""2017-07-23T23:44:00.000+08:00"")","1500826634979","111","0","0"
"ObjectId(""5974c4c8901f02000e004d2d"")","ISODate(""2017-07-23T23:46:00.000+08:00"")","1500826717930","110","0","0"
"ObjectId(""5974c55e901f022c0e008356"")","ISODate(""2017-07-23T23:48:00.000+08:00"")","1500826866304","114","0","0"
"ObjectId(""5974c564901f02000e004d33"")","ISODate(""2017-07-23T23:48:00.000+08:00"")","1500826873024","109","0","0"
"ObjectId(""5974c58a901f023c0e0038f7"")","ISODate(""2017-07-23T23:49:00.000+08:00"")","1500826911676","112","0","0"
"ObjectId(""5974c5a3901f023c0e0038f9"")","ISODate(""2017-07-23T23:49:00.000+08:00"")","1500826935078","111","0","0"
"ObjectId(""5974c5f5901f02000e004d3c"")","ISODate(""2017-07-23T23:51:00.000+08:00"")","1500827017974","110","0","0"
"ObjectId(""5974c92d901f022c0e008370"")","ISODate(""2017-07-24T00:05:00.000+08:00"")","1500827473158","109","0","0"
